run_id,model,block,matrix,ngl,ub,t,ctk,mmp,fa,moe_cpu_frac,status,tok_s,stddev_ts,reps_tok_s,wall_s,settle_s,free_ram_gb_pre,temp_pre,sm_mhz_pre,mem_mhz_pre,vram_mib_pre,power_w_pre,temp_post,sm_mhz_post,mem_mhz_post,vram_mib_post,power_w_post,ts_utc,cmd
4f9d3262b312ee92,7B,9,AB_t,0,1024,2,q8_0,0,0,,ok,5.711021,0.030154,"[5.7049, 5.7438, 5.6844]",69.8,30.4,12.93,45,139,405,400,8.49,42,139,405,400,8.97,2026-08-16 21:17:48 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 1024 -t 2 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
bd7a53e827f422da,7B,9,AB_ctk,0,1024,3,q8_0,0,0,,ok,6.65948,0.019482,"[6.6572, 6.68, 6.6412]",60.1,30.4,12.92,41,139,405,400,8.49,41,139,405,400,8.69,2026-08-16 21:19:19 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 1024 -t 3 -ctk q8_0 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
6c4f1324080332c7,7B,10,A,19,1024,2,f16,0,0,,ok,11.349488,0.066013,"[11.2733, 11.3872, 11.388]",36.1,30.4,12.94,40,139,405,400,8.40,48,1733,4006,398,33.48,2026-08-16 21:20:26 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 1024 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
ce415bd8e0f9a643,7B,10,B,0,1024,4,f16,0,0,,ok,6.851156,0.024216,"[6.8368, 6.8375, 6.8791]",58.5,30.4,12.96,44,139,405,398,8.68,42,139,405,398,8.78,2026-08-16 21:21:55 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 1024 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
c18578870ac209a0,7B,10,AB_ngl,0,1024,2,f16,0,0,,ok,5.70254,0.014903,"[5.6965, 5.6916, 5.7195]",69.8,30.4,12.95,41,139,405,398,8.30,40,139,405,398,8.97,2026-08-16 21:23:36 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 1024 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
7ee906a723814515,7B,10,AB_ub,19,1024,2,f16,0,0,,ok,11.220669,0.013781,"[11.205, 11.2308, 11.2262]",36.5,30.3,12.93,39,139,405,398,8.59,47,1657,4006,400,31.85,2026-08-16 21:24:43 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 1024 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
f539276a68ba355f,7B,10,AB_t,19,1024,4,f16,0,0,,ok,12.983714,0.071115,"[13.0182, 13.031, 12.9019]",31.8,30.4,12.93,43,139,405,400,8.68,53,1873,4006,400,38.84,2026-08-16 21:25:45 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 1024 -t 4 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
b75050d6eb870c43,7B,10,AB_ctk,19,1024,2,f16,0,0,,ok,11.196772,0.062036,"[11.1252, 11.2352, 11.2299]",36.5,30.4,12.93,47,139,405,400,8.49,53,1657,4006,400,33.10,2026-08-16 21:26:53 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 19 -ub 1024 -t 2 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
67afff3607981105,7B,11,A,9,512,1,f16,0,0,,ok,4.470678,0.019357,"[4.4569, 4.4623, 4.4928]",88.5,30.4,12.93,48,139,405,400,8.68,52,1506,4006,400,30.60,2026-08-16 21:28:52 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 9 -ub 512 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
f22b9d16ecba1ec5,7B,11,B,0,512,1,f16,0,0,,ok,3.146128,0.014645,"[3.1294, 3.1568, 3.1522]",124.7,30.4,12.93,49,139,405,400,8.68,42,139,405,398,8.88,2026-08-16 21:31:28 UTC,C:/Users/Federico/Documents/evo-compress/tools/llamacpp-b10098/llama-bench.exe -m D:/evo-compress-data/gguf/Qwen2.5-7B-Instruct-Q4_K_M.gguf -ngl 0 -ub 512 -t 1 -ctk f16 -ctv f16 -b 2048 -mmp 0 -fa 0 -n 128 -p 0 -r 3 -o json
