21:56:32 precomputing expected outputs for 113 tasks
21:59:07 precomputing expected outputs for 113 tasks
22:01:11 precomputing expected outputs for 113 tasks
22:01:55 [pilot] np=2: 442.1 tok/s aggregate (1.2s)
22:02:13 [pilot] np=4: 439.5 tok/s aggregate (2.3s)
22:02:32 [pilot] np=8: 509.4 tok/s aggregate (4.0s)
22:02:52 [pilot] np=12: 664.2 tok/s aggregate (4.6s)
22:03:14 [pilot] np=16: 564.7 tok/s aggregate (7.3s)
22:03:17 [pilot] chosen k=16 (peak 664.2, rule: largest np with >=0.8x peak)
22:07:09   [B_7B_single] 63/113 Mbpp/598 PASS (3.0s, trunc 0/1)
22:07:10   [B_7B_single] 64/113 Mbpp/6 fail (1.8s, trunc 0/1)
22:07:13   [B_7B_single] 65/113 Mbpp/600 PASS (2.5s, trunc 0/1)
22:07:15   [B_7B_single] 66/113 Mbpp/604 PASS (2.5s, trunc 0/1)
22:07:21   [B_7B_single] 67/113 Mbpp/608 PASS (5.7s, trunc 0/1)
22:07:22   [B_7B_single] 68/113 Mbpp/611 PASS (1.4s, trunc 0/1)
22:07:28   [B_7B_single] 69/113 Mbpp/612 PASS (5.9s, trunc 0/1)
22:07:33   [B_7B_single] 70/113 Mbpp/616 PASS (4.7s, trunc 0/1)
22:07:35   [B_7B_single] 71/113 Mbpp/619 PASS (2.3s, trunc 0/1)
22:07:39   [B_7B_single] 72/113 Mbpp/622 fail (3.5s, trunc 0/1)
22:07:40   [B_7B_single] 73/113 Mbpp/623 PASS (1.3s, trunc 0/1)
22:07:42   [B_7B_single] 74/113 Mbpp/626 fail (2.0s, trunc 0/1)
22:07:44   [B_7B_single] 75/113 Mbpp/628 PASS (1.3s, trunc 0/1)
22:07:47   [B_7B_single] 76/113 Mbpp/629 fail (3.2s, trunc 0/1)
22:07:49   [B_7B_single] 77/113 Mbpp/632 PASS (2.3s, trunc 0/1)
22:07:50   [B_7B_single] 78/113 Mbpp/637 PASS (1.2s, trunc 0/1)
22:07:55   [B_7B_single] 79/113 Mbpp/638 fail (4.8s, trunc 0/1)
22:07:57   [B_7B_single] 80/113 Mbpp/643 fail (2.1s, trunc 0/1)
22:08:00   [B_7B_single] 81/113 Mbpp/68 PASS (3.4s, trunc 0/1)
22:08:02   [B_7B_single] 82/113 Mbpp/7 fail (1.9s, trunc 0/1)
22:08:04   [B_7B_single] 83/113 Mbpp/70 PASS (1.4s, trunc 0/1)
22:08:05   [B_7B_single] 84/113 Mbpp/724 PASS (1.7s, trunc 0/1)
22:08:07   [B_7B_single] 85/113 Mbpp/726 PASS (1.8s, trunc 0/1)
22:08:21   [B_7B_single] 86/113 Mbpp/739 fail (14.1s, trunc 0/1)
22:08:25   [B_7B_single] 87/113 Mbpp/74 fail (3.8s, trunc 0/1)
22:08:27   [B_7B_single] 88/113 Mbpp/742 PASS (1.9s, trunc 0/1)
22:08:31   [B_7B_single] 89/113 Mbpp/744 PASS (3.9s, trunc 0/1)
22:08:33   [B_7B_single] 90/113 Mbpp/748 fail (2.0s, trunc 0/1)
22:08:40   [B_7B_single] 91/113 Mbpp/752 PASS (7.3s, trunc 0/1)
22:08:43   [B_7B_single] 92/113 Mbpp/759 fail (2.5s, trunc 0/1)
22:08:44   [B_7B_single] 93/113 Mbpp/760 PASS (1.1s, trunc 0/1)
22:08:56   [B_7B_single] 94/113 Mbpp/765 fail (12.6s, trunc 0/1)
22:09:00   [B_7B_single] 95/113 Mbpp/770 PASS (3.4s, trunc 0/1)
22:09:05   [B_7B_single] 96/113 Mbpp/771 fail (5.4s, trunc 0/1)
22:09:07   [B_7B_single] 97/113 Mbpp/772 PASS (2.1s, trunc 0/1)
22:09:21   [B_7B_single] 98/113 Mbpp/773 fail (14.1s, trunc 0/1)
22:09:29   [B_7B_single] 99/113 Mbpp/780 fail (7.9s, trunc 0/1)
22:09:33   [B_7B_single] 100/113 Mbpp/781 PASS (3.5s, trunc 0/1)
22:09:36   [B_7B_single] 101/113 Mbpp/782 PASS (3.4s, trunc 0/1)
22:09:39   [B_7B_single] 102/113 Mbpp/786 fail (2.8s, trunc 0/1)
22:09:40   [B_7B_single] 103/113 Mbpp/796 PASS (0.9s, trunc 0/1)
22:09:45   [B_7B_single] 104/113 Mbpp/8 PASS (5.3s, trunc 0/1)
